0 
0  start
0 a ball
0 a ballroom
0 a benefactor
0 a bore
0 a broad
0 a brother
0 a brown
1 a capital
0 a celebrity
0 a chair
0 a charming
0 a chi
0 a child
0 a childlike
0 a christian
0 a clever
0 a cloak
1 a cold
0 a connection
0 a constant
0 a continual
1 a conversation
0 a coquettish
0 a cough
0 a cup
0 a dark
0 a delicate
1 a delightful
0 a diamond
0 a drawing
0 a dry
0 a duc
1 a father
0 a footman
1 a frenchman
0 a friendly
2 a general
0 a gesture
0 a ghost
0 a gleam
0 a gold
1 a grand
4 a great
0 a grimace
0 a group
1 a hero
0 a hot
0 a joyous
0 a la
2 a lady
0 a laugh
3 a little
0 a livery
0 a long
0 a look
3 a low
5 a man
0 a mania
0 a matter
0 a menace
2 a moment
0 a monarch
1 a most
0 a mother
0 a movement
0 a needle
0 a new
0 a nice
0 a pause
0 a perfectly
0 a piece
0 a pleasant
0 a pleased
1 a pleasure
0 a political
2 a poor
0 a princess
0 a private
0 a propos
0 a qui
0 a quiet
0 a relation
0 a remark
1 a reply
0 a reverse
0 a right
0 a room
1 a sarcastic
0 a scarlet
0 a sense
0 a serene
0 a serious
0 a shawl
1 a short
0 a sign
0 a silent
0 a slight
0 a small
1 a smile
0 a sofa
1 a specially
0 a spindle
0 a spinning
0 a spoiled
0 a stale
0 a statesman
0 a stout
0 a subtle
0 a swindle
0 a tale
0 a terrible
0 a terrified
0 a third
0 a thoroughly
0 a throne
0 a tolerant
1 a tone
0 a too
0 a toyshop
0 a trap
0 a treat
0 a vacant
1 a very
0 a vexatious
0 a vigorous
0 a village
0 a virulent
0 a watchful
0 a way
1 a well
0 a whole
0 a wicked
0 a wonderful
3 a word
0 a wound
2 a year
0 a young
0 abbe about
0 abbe and
0 abbe another
0 abbe as
2 abbe morio
0 abbe pierre
0 abbe s
0 abbe so
0 abbe was
0 ability before
0 able to
0 abnegation of
0 about a
0 about anna
1 about her
0 about him
0 about ideas
1 about it
0 about kutuzov
0 about mademoiselle
0 about mortemart
0 about my
0 about novosiltsev
0 about pierre
3 about the
0 about theatricals
0 about their
0 about to
0 about your
0 abroad and
0 abroad where
0 absent minded
0 absent mindedness
0 abuses preserved
0 accompanied any
0 accomplished chapter
0 accorded to
0 accounts is
0 acquaintance anna
0 acquainted than
0 act of
0 actions of
0 actions what
0 active one
0 actor repeating
0 actress favors
0 acts as
0 acts which
0 added addressing
0 added becoming
0 added hurriedly
2 added in
1 added that
0 added turning
0 added with
0 addressing all
0 addressing her
0 addressing prince
0 adjusted he
1 adjusting his
0 adjutant then
0 adjutants no
0 admiring her
0 admit continued
0 admitting of
0 adopted just
0 adorable it
0 adored monarch
0 advantageous style
0 advise you
0 affair for
0 affectation of
0 affected sugary
0 affected sympathy
0 affectionate eyes
0 affectionately the
0 afraid of
0 africa that
2 after a
0 after being
0 after day
0 after he
0 after her
0 after him
0 after hour
0 after spending
0 after that
3 after the
1 again and
0 again broke
0 again but
0 again changed
0 again everybody
0 again expressing
0 again her
0 again i
